page,card_index,year,date,title,paper_type,landing_page_url,open_access_marker,clinical_filter,screen_status,screen_reasons
25,14,2025,2025-01-13,Oral obeldesivir provides postexposure protection against Marburg virus in nonhuman primates,Article,https://www.nature.com/articles/s41591-025-03496-y,yes,matched_token:survival,eligible,
25,15,2025,2025-01-13,Lifetime risk and projected burden of dementia,Brief Communication,https://www.nature.com/articles/s41591-024-03340-9,no,matched_token:cohort,excluded,not_article_type;no_publisher_open_access_marker
25,16,2025,2025-01-13,Ultrasensitive ctDNA detection for preoperative disease stratification in early-stage lung adenocarcinoma,Brief Communication,https://www.nature.com/articles/s41591-024-03216-y,yes,matched_token:cohort,excluded,not_article_type
25,17,2025,2025-01-10,Autologous macrophage therapy for liver cirrhosis: a phase 2 open-label randomized controlled trial,Article,https://www.nature.com/articles/s41591-024-03406-8,yes,matched_token:therapy,eligible,
25,18,2025,2025-01-10,"Subcutaneous weekly semaglutide with automated insulin delivery in type 1 diabetes: a double-blind, randomized, crossover trial",Article,https://www.nature.com/articles/s41591-024-03463-z,yes,matched_token:randomized,eligible,
25,19,2025,2025-01-10,"Orphanhood and caregiver death among children in the United States by all-cause mortality, 2000–2021",Article,https://www.nature.com/articles/s41591-024-03343-6,yes,matched_token:children,eligible,
25,20,2025,2025-01-09,Impact of RSVpreF vaccination on reducing the burden of respiratory syncytial virus in infants and older adults,Article,https://www.nature.com/articles/s41591-024-03431-7,yes,matched_token:vaccination,eligible,
26,1,2025,2025-01-08,T cell malignancies after CAR T cell therapy in the DESCAR-T registry,Brief Communication,https://www.nature.com/articles/s41591-024-03458-w,no,matched_token:therapy,excluded,not_article_type;no_publisher_open_access_marker
26,2,2025,2025-01-08,Transplantation of a genetically modified porcine heart into a live human,Article,https://www.nature.com/articles/s41591-024-03429-1,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
26,3,2025,2025-01-08,Remotely delivered weight management for people with long COVID and overweight: the randomized wait-list-controlled ReDIRECT trial,Article,https://www.nature.com/articles/s41591-024-03384-x,yes,matched_token:people with,eligible,
26,4,2025,2025-01-08,The gut–brain axis underlying hepatic encephalopathy in liver cirrhosis,Article,https://www.nature.com/articles/s41591-024-03405-9,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
26,5,2025,2025-01-08,High-efficiency base editing in the retina in primates and human tissues,Article,https://www.nature.com/articles/s41591-024-03422-8,yes,matched_token:clinical,eligible,
26,6,2025,2025-01-08,A generalist medical language model for disease diagnosis assistance,Article,https://www.nature.com/articles/s41591-024-03416-6,no,matched_token:patient,excluded,no_publisher_open_access_marker
26,7,2025,2025-01-08,Toward expert-level medical question answering with large language models,Article,https://www.nature.com/articles/s41591-024-03423-7,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
26,8,2025,2025-01-08,Medical large language models are vulnerable to data-poisoning attacks,Article,https://www.nature.com/articles/s41591-024-03445-1,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
26,9,2025,2025-01-07,"Angiogenic factors versus fetomaternal Doppler for fetal growth restriction at term: an open-label, randomized controlled trial",Article,https://www.nature.com/articles/s41591-024-03421-9,no,matched_token:randomized,excluded,no_publisher_open_access_marker
26,10,2025,2025-01-07,Nationwide real-world implementation of AI for cancer detection in population-based mammography screening,Article,https://www.nature.com/articles/s41591-024-03408-6,yes,matched_token:real-world,eligible,
26,11,2025,2025-01-07,"Effects of early, late and self-selected time-restricted eating on visceral adipose tissue and cardiometabolic health in participants with overweight or obesity: a randomized controlled trial",Article,https://www.nature.com/articles/s41591-024-03375-y,no,matched_token:participants,excluded,no_publisher_open_access_marker
26,12,2025,2025-01-07,Intracerebroventricular B7-H3-targeting CAR T cells for diffuse intrinsic pontine glioma: a phase 1 trial,Article,https://www.nature.com/articles/s41591-024-03451-3,yes,matched_token:phase 1,eligible,
26,13,2025,2025-01-07,Intracerebroventricular anaerobic dopamine in Parkinson’s disease with l -dopa-related complications: a phase 1/2 randomized-controlled trial,Article,https://www.nature.com/articles/s41591-024-03428-2,yes,matched_token:phase 1,eligible,
26,14,2025,2025-01-07,Neoadjuvant anti-PD-1 alone or in combination with anti-TIGIT or an oncolytic virus in resectable stage IIIB–D melanoma: a phase 1/2 trial,Article,https://www.nature.com/articles/s41591-024-03411-x,yes,matched_token:phase 1,eligible,
26,15,2025,2025-01-07,"Single-dose suraxavir marboxil for acute uncomplicated influenza in adults and adolescents: a multicenter, randomized, double-blind, placebo-controlled phase 3 trial",Article,https://www.nature.com/articles/s41591-024-03419-3,no,matched_token:adults,excluded,no_publisher_open_access_marker
26,16,2025,2025-01-07,Multi-omics-based mapping of decidualization resistance in patients with a history of severe preeclampsia,Article,https://www.nature.com/articles/s41591-024-03407-7,yes,matched_token:patients,eligible,
26,17,2025,2025-01-06,Prediction of checkpoint inhibitor immunotherapy efficacy for cancer using routine blood tests and clinical data,Article,https://www.nature.com/articles/s41591-024-03398-5,yes,matched_token:clinical,eligible,
26,18,2025,2025-01-06,Autogene cevumeran with or without atezolizumab in advanced solid tumors: a phase 1 trial,Article,https://www.nature.com/articles/s41591-024-03334-7,yes,matched_token:phase 1,eligible,
26,19,2025,2025-01-06,Neoadjuvant chemoradiation with or without PD-1 blockade in locally advanced rectal cancer: a randomized phase 2 trial,Article,https://www.nature.com/articles/s41591-024-03360-5,no,matched_token:randomized,excluded,no_publisher_open_access_marker
26,20,2025,2025-01-06,Selumetinib in adults with NF1 and inoperable plexiform neurofibroma: a phase 2 trial,Article,https://www.nature.com/articles/s41591-024-03361-4,no,matched_token:adults,excluded,no_publisher_open_access_marker
27,1,2025,2025-01-06,Glecirasib in KRAS G12C -mutated nonsmall-cell lung cancer: a phase 2b trial,Article,https://www.nature.com/articles/s41591-024-03401-z,no,matched_token:trial,excluded,no_publisher_open_access_marker
27,2,2025,2025-01-06,Ferric carboxymaltose for anemia in late pregnancy: a randomized controlled trial,Article,https://www.nature.com/articles/s41591-024-03385-w,yes,matched_token:randomized,eligible,
27,3,2025,2025-01-06,Burdens of type 2 diabetes and cardiovascular disease attributable to sugar-sweetened beverages in 184 countries,Article,https://www.nature.com/articles/s41591-024-03345-4,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
27,4,2025,2025-01-03,Large floods drive changes in cause-specific mortality in the United States,Article,https://www.nature.com/articles/s41591-024-03358-z,yes,matched_token:mortality,eligible,
27,5,2025,2025-01-03,Single immunization with genetically attenuated Pf∆mei2 (GA2) parasites by mosquito bite in controlled human malaria infection: a placebo-controlled randomized trial,Article,https://www.nature.com/articles/s41591-024-03347-2,yes,matched_token:randomized,eligible,
27,6,2025,2025-01-03,"Personalized, autologous neoantigen-specific T cell therapy in metastatic melanoma: a phase 1 trial",Article,https://www.nature.com/articles/s41591-024-03418-4,yes,matched_token:therapy,eligible,
27,7,2025,2025-01-03,Sustained virologic suppression of multidrug-resistant HIV in an individual treated with anti-CD4 domain 1 antibody and lenacapavir,Brief Communication,https://www.nature.com/articles/s41591-024-03357-0,no,matched_token:treatment,excluded,not_article_type;no_publisher_open_access_marker
27,8,2025,2025-01-03,Evaluating generalizability of oncology trial results to real-world patients using machine learning-based trial emulations,Article,https://www.nature.com/articles/s41591-024-03352-5,yes,matched_token:trial,eligible,
27,9,2025,2025-01-03,Proteomic changes upon treatment with semaglutide in individuals with obesity,Article,https://www.nature.com/articles/s41591-024-03355-2,yes,matched_token:treatment,eligible,
27,10,2025,2025-01-03,Clinicogenomic landscape of pancreatic adenocarcinoma identifies KRAS mutant dosage as prognostic of overall survival,Article,https://www.nature.com/articles/s41591-024-03362-3,yes,matched_token:survival,eligible,
27,11,2025,2025-01-03,"Effects of conditional cash transfers on tuberculosis incidence and mortality according to race, ethnicity and socioeconomic factors in the 100 Million Brazilian Cohort",Article,https://www.nature.com/articles/s41591-024-03381-0,yes,matched_token:incidence,eligible,
27,12,2025,2025-01-02,Multi-omic profiling a defined bacterial consortium for treatment of recurrent Clostridioides difficile infection,Article,https://www.nature.com/articles/s41591-024-03337-4,no,matched_token:treatment,excluded,no_publisher_open_access_marker
27,13,2025,2025-01-02,An evaluation framework for clinical use of large language models in patient interaction tasks,Article,https://www.nature.com/articles/s41591-024-03328-5,no,matched_token:clinical,excluded,no_publisher_open_access_marker
27,14,2025,2025-01-02,Empagliflozin in nondiabetic individuals with calcium and uric acid kidney stones: a randomized phase 2 trial,Article,https://www.nature.com/articles/s41591-024-03330-x,yes,matched_token:randomized,eligible,
27,15,2025,2025-01-02,Combined endurance and resistance exercise training in heart failure with preserved ejection fraction: a randomized controlled trial,Article,https://www.nature.com/articles/s41591-024-03342-7,yes,matched_token:randomized,eligible,
27,16,2025,2025-01-02,International multicenter validation of AI-driven ultrasound detection of ovarian cancer,Article,https://www.nature.com/articles/s41591-024-03329-4,yes,matched_token:patients,eligible,
27,17,2024,2024-12-16,Genomic and transmission dynamics of the 2024 Marburg virus outbreak in Rwanda,Brief Communication,https://www.nature.com/articles/s41591-024-03459-9,yes,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_predeclared_human_clinical_evidence_token
27,18,2024,2024-12-11,Self-improving generative foundation model for synthetic medical image generation and clinical applications,Article,https://www.nature.com/articles/s41591-024-03359-y,no,matched_token:clinical,excluded,no_publisher_open_access_marker
27,19,2024,2024-12-09,Data-driven cluster analysis identifies distinct types of metabolic dysfunction-associated steatotic liver disease,Article,https://www.nature.com/articles/s41591-024-03283-1,yes,matched_token:clinical,eligible,
27,20,2024,2024-12-09,Partitioned polygenic risk scores identify distinct types of metabolic dysfunction-associated steatotic liver disease,Article,https://www.nature.com/articles/s41591-024-03284-0,yes,matched_token:patients,eligible,
28,1,2024,2024-12-02,Hypothalamic deep brain stimulation augments walking after spinal cord injury,Article,https://www.nature.com/articles/s41591-024-03306-x,no,matched_token:therapy,excluded,no_publisher_open_access_marker
28,2,2024,2024-11-26,Genetic basis of early onset and progression of type 2 diabetes in South Asians,Article,https://www.nature.com/articles/s41591-024-03317-8,yes,matched_token:cohort,eligible,
28,3,2024,2024-11-20,Spatial multiomic landscape of the human placenta at molecular resolution,Article,https://www.nature.com/articles/s41591-024-03073-9,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
28,4,2024,2024-11-20,Spatially resolved single-cell atlas unveils a distinct cellular signature of fatal lung COVID-19 in a Malawian population,Resource,https://www.nature.com/articles/s41591-024-03354-3,yes,matched_token:covid,excluded,not_article_type
28,5,2024,2024-11-20,An organotypic atlas of human vascular cells,Article,https://www.nature.com/articles/s41591-024-03376-x,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
28,6,2024,2024-11-17,Effects of tirzepatide on circulatory overload and end-organ damage in heart failure with preserved ejection fraction and obesity: a secondary analysis of the SUMMIT trial,Article,https://www.nature.com/articles/s41591-024-03374-z,yes,matched_token:trial,eligible,
28,7,2024,2024-11-12,Seven-year performance of a clinical metagenomic next-generation sequencing test for diagnosis of central nervous system infections,Article,https://www.nature.com/articles/s41591-024-03275-1,yes,matched_token:clinical,eligible,
28,8,2024,2024-11-11,TRBC1-CAR T cell therapy in peripheral T cell lymphoma: a phase 1/2 trial,Article,https://www.nature.com/articles/s41591-024-03326-7,yes,matched_token:therapy,eligible,
28,9,2024,2024-11-09,Oncolytic immunotherapy with nivolumab in muscle-invasive bladder cancer: a phase 1b trial,Article,https://www.nature.com/articles/s41591-024-03324-9,no,matched_token:trial,excluded,no_publisher_open_access_marker
28,10,2024,2024-11-07,Collaboration between clinicians and vision–language models in radiology report generation,Article,https://www.nature.com/articles/s41591-024-03302-1,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
28,11,2024,2024-11-05,"A systematic review and meta-analysis of heat exposure impacts on maternal, fetal and neonatal health",Analysis,https://www.nature.com/articles/s41591-024-03395-8,yes,excluded_article_type_title,excluded,not_article_type;excluded_article_type_title;excluded_title
28,12,2024,2024-11-04,Clinical validation of an AI-based pathology tool for scoring of metabolic dysfunction-associated steatohepatitis,Article,https://www.nature.com/articles/s41591-024-03301-2,yes,matched_token:clinical,eligible,
28,13,2024,2024-10-30,A multi-modal single-cell and spatial expression map of metastatic breast cancer biopsies across clinicopathological features,Article,https://www.nature.com/articles/s41591-024-03215-z,yes,matched_token:patients,eligible,
28,14,2024,2024-10-28,Digital AVATAR therapy for distressing voices in psychosis: the phase 2/3 AVATAR2 trial,Article,https://www.nature.com/articles/s41591-024-03252-8,yes,matched_token:therapy,eligible,
28,15,2024,2024-10-25,Semaglutide in patients with overweight or obesity and chronic kidney disease without diabetes: a randomized double-blind placebo-controlled clinical trial,Article,https://www.nature.com/articles/s41591-024-03327-6,no,matched_token:patients,excluded,no_publisher_open_access_marker
28,16,2024,2024-10-24,Subclassification of obesity for precision prediction of cardiometabolic diseases,Article,https://www.nature.com/articles/s41591-024-03299-7,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
28,17,2024,2024-10-23,Global genomic surveillance of monkeypox virus,Analysis,https://www.nature.com/articles/s41591-024-03370-3,yes,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_predeclared_human_clinical_evidence_token
28,18,2024,2024-10-21,Home-based transcranial direct current stimulation treatment for major depressive disorder: a fully remote phase 2 randomized sham-controlled trial,Article,https://www.nature.com/articles/s41591-024-03305-y,yes,matched_token:treatment,eligible,
28,19,2024,2024-10-09,AAV gene therapy for Duchenne muscular dystrophy: the EMBARK phase 3 randomized trial,Article,https://www.nature.com/articles/s41591-024-03304-z,yes,matched_token:therapy,eligible,
28,20,2024,2024-10-08,Prediction of brain metastasis development with DNA methylation signatures,Article,https://www.nature.com/articles/s41591-024-03286-y,yes,matched_token:cohort,eligible,
29,1,2024,2024-10-08,Sustained effect of prasinezumab on Parkinson’s disease motor progression in the open-label extension of the PASADENA trial,Article,https://www.nature.com/articles/s41591-024-03270-6,yes,matched_token:trial,eligible,
29,2,2024,2024-10-04,"Noninvasive, microbiome-based diagnosis of inflammatory bowel disease",Article,https://www.nature.com/articles/s41591-024-03280-4,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
29,3,2024,2024-10-03,Impact of doxycycline post-exposure prophylaxis for sexually transmitted infections on the gut microbiome and antimicrobial resistome,Article,https://www.nature.com/articles/s41591-024-03274-2,yes,matched_token:participants,eligible,
29,4,2024,2024-10-01,Sacituzumab govitecan in HR + HER2 − metastatic breast cancer: the randomized phase 3 EVER-132-002 trial,Article,https://www.nature.com/articles/s41591-024-03269-z,yes,matched_token:randomized,eligible,
29,5,2024,2024-10-01,Allogeneic CD5-specific CAR-T therapy for relapsed/refractory T-ALL: a phase 1 trial,Article,https://www.nature.com/articles/s41591-024-03282-2,no,matched_token:therapy,excluded,no_publisher_open_access_marker
29,6,2024,2024-10-01,Increased frequency of repeat expansion mutations across different populations,Article,https://www.nature.com/articles/s41591-024-03190-5,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
29,7,2024,2024-09-30,Neoantigen immunogenicity landscapes and evolution of tumor ecosystems during immunotherapy with nivolumab,Article,https://www.nature.com/articles/s41591-024-03240-y,no,matched_token:cohort,excluded,no_publisher_open_access_marker
29,8,2024,2024-09-30,Low-dose spironolactone and cardiovascular outcomes in moderate stage chronic kidney disease: a randomized controlled trial,Article,https://www.nature.com/articles/s41591-024-03263-5,yes,matched_token:outcomes,eligible,
29,9,2024,2024-09-27,SARS-CoV-2-specific plasma cells are not durably established in the bone marrow long-lived compartment after mRNA vaccination,Article,https://www.nature.com/articles/s41591-024-03278-y,yes,matched_token:sars-cov-2,eligible,
29,10,2024,2024-09-27,Cytokine-mediated CAR T therapy resistance in AML,Article,https://www.nature.com/articles/s41591-024-03271-5,no,matched_token:therapy,excluded,no_publisher_open_access_marker
29,11,2024,2024-09-27,The economic value of reducing mortality due to noncommunicable diseases and injuries,Article,https://www.nature.com/articles/s41591-024-03248-4,yes,matched_token:mortality,eligible,
29,12,2024,2024-09-27,The economic value of reducing avoidable mortality,Article,https://www.nature.com/articles/s41591-024-03253-7,no,matched_token:mortality,excluded,no_publisher_open_access_marker
29,13,2024,2024-09-25,A foundation model for clinician-centered drug repurposing,Article,https://www.nature.com/articles/s41591-024-03233-x,yes,matched_token:therapeutic,eligible,
29,14,2024,2024-09-23,Molecular profiling of BRAF-V600E-mutant metastatic colorectal cancer in the phase 3 BEACON CRC trial,Article,https://www.nature.com/articles/s41591-024-03235-9,yes,matched_token:phase 3,eligible,
29,15,2024,2024-09-23,Posthospitalization COVID-19 cognitive deficits at 1 year are global and associated with elevated brain injury markers and gray matter volume reduction,Article,https://www.nature.com/articles/s41591-024-03309-8,yes,matched_token:covid,eligible,
29,16,2024,2024-09-23,A toolbox for surfacing health equity harms and biases in large language models,Article,https://www.nature.com/articles/s41591-024-03258-2,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
29,17,2024,2024-09-20,High-throughput identification of repurposable neuroactive drugs with potent anti-glioblastoma activity,Article,https://www.nature.com/articles/s41591-024-03224-y,yes,matched_token:screening,eligible,
29,18,2024,2024-09-20,Lipid profiling identifies modifiable signatures of cardiometabolic risk in children and adolescents with obesity,Article,https://www.nature.com/articles/s41591-024-03279-x,yes,matched_token:children,eligible,
29,19,2024,2024-09-19,Echocardiographic screening for heart failure and optimization of the care pathway for individuals with pacemakers: a randomized controlled trial,Article,https://www.nature.com/articles/s41591-024-03265-3,yes,matched_token:screening,eligible,
29,20,2024,2024-09-18,Human outbreaks of a novel reassortant Oropouche virus in the Brazilian Amazon region,Article,https://www.nature.com/articles/s41591-024-03300-3,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
30,1,2024,2024-09-17,Data-driven risk stratification and precision management of pulmonary nodules detected on chest computed tomography,Article,https://www.nature.com/articles/s41591-024-03211-3,yes,matched_token:cohort,eligible,
30,2,2024,2024-09-16,ctDNA-based molecular residual disease and survival in resectable colorectal cancer,Article,https://www.nature.com/articles/s41591-024-03254-6,yes,matched_token:survival,eligible,
30,3,2024,2024-09-16,Neoadjuvant nivolumab or nivolumab plus ipilimumab in early-stage triple-negative breast cancer: a phase 2 adaptive trial,Article,https://www.nature.com/articles/s41591-024-03249-3,yes,matched_token:phase 2,eligible,
30,4,2024,2024-09-16,Targeted therapy guided by circulating tumor DNA analysis in advanced gastrointestinal tumors,Article,https://www.nature.com/articles/s41591-024-03244-8,yes,matched_token:therapy,eligible,
30,5,2024,2024-09-15,Neoadjuvant nivolumab and relatlimab in locally advanced MMR-deficient colon cancer: a phase 2 trial,Article,https://www.nature.com/articles/s41591-024-03250-w,yes,matched_token:phase 2,eligible,
30,6,2024,2024-09-14,Datopotamab–deruxtecan in early-stage breast cancer: the sequential multiple assignment randomized I-SPY2.2 phase 2 trial,Article,https://www.nature.com/articles/s41591-024-03266-2,no,matched_token:randomized,excluded,no_publisher_open_access_marker
30,7,2024,2024-09-14,Datopotamab–deruxtecan plus durvalumab in early-stage breast cancer: the sequential multiple assignment randomized I-SPY2.2 phase 2 trial,Article,https://www.nature.com/articles/s41591-024-03267-1,no,matched_token:randomized,excluded,no_publisher_open_access_marker
30,8,2024,2024-09-13,Trastuzumab deruxtecan in HER2-positive advanced breast cancer with or without brain metastases: a phase 3b/4 trial,Article,https://www.nature.com/articles/s41591-024-03261-7,yes,matched_token:trial,eligible,
30,9,2024,2024-09-12,An open-source framework for end-to-end analysis of electronic health record data,Resource,https://www.nature.com/articles/s41591-024-03214-0,yes,matched_token:electronic health record,excluded,not_article_type
30,10,2024,2024-09-12,Safety and antiviral effect of a triple combination of HIV-1 broadly neutralizing antibodies: a phase 1/2a trial,Article,https://www.nature.com/articles/s41591-024-03247-5,yes,matched_token:phase 1,eligible,
30,11,2024,2024-09-05,Cardiovascular safety of vitamin B 3 administration,Matters Arising,https://www.nature.com/articles/s41591-024-03219-9,no,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
30,12,2024,2024-09-05,"Reply to Guyton, J. R. & Boden, W. E.; Schreiber, S. et al.",Matters Arising,https://www.nature.com/articles/s41591-024-03222-0,no,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
30,13,2024,2024-09-05,"Niacin, food intake and cardiovascular effects",Matters Arising,https://www.nature.com/articles/s41591-024-03220-2,no,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
30,14,2024,2024-09-03,"A time-stratified, case–crossover study of heat exposure and perinatal mortality from 16 hospitals in sub-Saharan Africa",Article,https://www.nature.com/articles/s41591-024-03245-7,yes,matched_token:mortality,eligible,
30,15,2024,2024-09-03,A framework for sharing of clinical and genetic data for precision medicine applications,Article,https://www.nature.com/articles/s41591-024-03239-5,yes,matched_token:clinical,eligible,
30,16,2024,2024-09-03,Fratricide-resistant CD7-CAR T cells in T-ALL,Article,https://www.nature.com/articles/s41591-024-03228-8,no,matched_token:patients,excluded,no_publisher_open_access_marker
30,17,2024,2024-09-02,Artificial intelligence guided screening for cardiomyopathies in an obstetric population: a pragmatic randomized clinical trial,Article,https://www.nature.com/articles/s41591-024-03243-9,yes,matched_token:screening,eligible,
30,18,2024,2024-09-02,Sustained HIV remission after allogeneic hematopoietic stem cell transplantation with wild-type CCR5 donor cells,Article,https://www.nature.com/articles/s41591-024-03277-z,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
30,19,2024,2024-09-01,"Finerenone in heart failure and chronic kidney disease with type 2 diabetes: FINE-HEART pooled analysis of cardiovascular, kidney and mortality outcomes",Analysis,https://www.nature.com/articles/s41591-024-03264-4,yes,matched_token:mortality,excluded,not_article_type
30,20,2024,2024-08-31,Digital consults in heart failure care: a randomized controlled trial,Article,https://www.nature.com/articles/s41591-024-03238-6,yes,matched_token:randomized,eligible,
31,1,2024,2024-08-30,Electronic nudges for sustained influenza vaccination uptake in older adults: the nationwide randomized NUDGE-FLU-2 trial,Article,https://www.nature.com/articles/s41591-024-03202-4,no,matched_token:vaccination,excluded,no_publisher_open_access_marker
31,2,2024,2024-08-30,Unidirectional association of clonal hematopoiesis with atherosclerosis development,Article,https://www.nature.com/articles/s41591-024-03213-1,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
31,3,2024,2024-08-28,Health and economic impacts of Lassa vaccination campaigns in West Africa,Article,https://www.nature.com/articles/s41591-024-03232-y,yes,matched_token:vaccination,eligible,
31,4,2024,2024-08-26,Brain clocks capture diversity and disparities in aging and dementia across geographically diverse populations,Article,https://www.nature.com/articles/s41591-024-03209-x,yes,matched_token:participants,eligible,
31,5,2024,2024-08-23,Effect of a digital school-based intervention on adolescent family planning and reproductive health in Rwanda: a cluster-randomized trial,Article,https://www.nature.com/articles/s41591-024-03205-1,no,matched_token:randomized,excluded,no_publisher_open_access_marker
31,6,2024,2024-08-23,Role of anticoagulation therapy in modifying stroke risk associated with new-onset atrial fibrillation after non-cardiac surgery,Article,https://www.nature.com/articles/s41591-024-03206-0,no,matched_token:therapy,excluded,no_publisher_open_access_marker
31,7,2024,2024-08-21,Molecular classification to refine surgical and radiotherapeutic decision-making in meningioma,Article,https://www.nature.com/articles/s41591-024-03167-4,yes,matched_token:cohort,eligible,
31,8,2024,2024-08-20,Androgen receptor pathway inhibitors and taxanes in metastatic prostate cancer: an outcome-adaptive randomized platform trial,Article,https://www.nature.com/articles/s41591-024-03204-2,yes,matched_token:outcome,eligible,
31,9,2024,2024-08-19,Chronic adaptive deep brain stimulation versus conventional stimulation in Parkinson’s disease: a blinded randomized feasibility trial,Article,https://www.nature.com/articles/s41591-024-03196-z,no,matched_token:randomized,excluded,no_publisher_open_access_marker
31,10,2024,2024-08-15,"Brain aging patterns in a large and diverse cohort of 49,482 individuals",Article,https://www.nature.com/articles/s41591-024-03144-x,no,matched_token:cohort,excluded,no_publisher_open_access_marker
31,11,2024,2024-08-15,DNA liquid biopsy-based prediction of cancer-associated venous thromboembolism,Article,https://www.nature.com/articles/s41591-024-03195-0,yes,no_predeclared_human_clinical_evidence_token,excluded,no_predeclared_human_clinical_evidence_token
31,12,2024,2024-08-12,Heat-related mortality in Europe during 2023 and the role of adaptation in protecting health,Brief Communication,https://www.nature.com/articles/s41591-024-03186-1,no,matched_token:mortality,excluded,not_article_type;no_publisher_open_access_marker
31,13,2024,2024-08-09,Antisense oligonucleotide therapy in an individual with KIF1A-associated neurological disorder,Brief Communication,https://www.nature.com/articles/s41591-024-03197-y,no,matched_token:therapy,excluded,not_article_type;no_publisher_open_access_marker
31,14,2024,2024-08-09,Single-nucleus chromatin accessibility and transcriptomic map of breast tissues of women of diverse genetic ancestry,Article,https://www.nature.com/articles/s41591-024-03011-9,yes,matched_token:incidence,eligible,
31,15,2024,2024-08-09,"Deep learning versus manual morphology-based embryo selection in IVF: a randomized, double-blind noninferiority trial",Article,https://www.nature.com/articles/s41591-024-03166-5,yes,matched_token:randomized,eligible,
31,16,2024,2024-08-08,Proteomic aging clock predicts mortality and risk of common age-related diseases in diverse populations,Article,https://www.nature.com/articles/s41591-024-03164-7,yes,matched_token:mortality,eligible,
31,17,2024,2024-08-07,AI-based automation of enrollment criteria and endpoint assessment in clinical trials in liver diseases,Article,https://www.nature.com/articles/s41591-024-03172-7,yes,matched_token:clinical,eligible,
31,18,2024,2024-08-07,A generalist vision–language foundation model for diverse biomedical tasks,Article,https://www.nature.com/articles/s41591-024-03185-2,no,matched_token:clinical,excluded,no_publisher_open_access_marker
31,19,2024,2024-08-06,"Clonal hematopoiesis, cardiovascular events and treatment benefit in 63,700 individuals from five TIMI randomized trials",Article,https://www.nature.com/articles/s41591-024-03188-z,no,matched_token:treatment,excluded,no_publisher_open_access_marker
31,20,2024,2024-08-02,A brain cell atlas integrating single-cell transcriptomes across human brain regions,Resource,https://www.nature.com/articles/s41591-024-03150-z,yes,no_predeclared_human_clinical_evidence_token,excluded,not_article_type;no_predeclared_human_clinical_evidence_token
32,1,2024,2024-08-02,Safety and reactogenicity of a controlled human infection model of sand fly-transmitted cutaneous leishmaniasis,Article,https://www.nature.com/articles/s41591-024-03146-9,yes,matched_token:participants,eligible,
32,2,2024,2024-08-02,"The traditional Chinese medicine Qiliqiangxin in heart failure with reduced ejection fraction: a randomized, double-blind, placebo-controlled trial",Article,https://www.nature.com/articles/s41591-024-03169-2,yes,matched_token:randomized,eligible,
32,3,2024,2024-08-02,Targeting axonal guidance dependencies in glioblastoma with ROBO1 CAR T cells,Article,https://www.nature.com/articles/s41591-024-03138-9,no,matched_token:patient,excluded,no_publisher_open_access_marker
32,4,2024,2024-08-02,Antifungal heteroresistance causes prophylaxis failure and facilitates breakthrough Candida parapsilosis infections,Article,https://www.nature.com/articles/s41591-024-03183-4,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
32,5,2024,2024-08-01,Determinants and inequities in healthy working life expectancy in China,Article,https://www.nature.com/articles/s41591-024-03184-3,no,no_predeclared_human_clinical_evidence_token,excluded,no_publisher_open_access_marker;no_predeclared_human_clinical_evidence_token
32,6,2024,2024-08-01,The burden of diabetes-associated multiple long-term conditions on years of life spent and lost,Article,https://www.nature.com/articles/s41591-024-03123-2,yes,matched_token:adults,eligible,
